graph_model,sybil_size,overlap,rep,tau,w_eff,r_eff,sampled
erdos_renyi,10,0.0,0,0.6326963662409404,6.326963662409404,6.326963662409404,False
erdos_renyi,10,0.0,1,0.6331871941904694,6.331871941904694,6.331871941904694,False
erdos_renyi,10,0.0,2,0.632295378570192,6.3229537857019205,6.3229537857019205,False
erdos_renyi,10,0.0,3,0.6326844918160062,6.326844918160061,6.326844918160061,False
erdos_renyi,10,0.0,4,0.631806455256677,6.31806455256677,6.31806455256677,False
erdos_renyi,10,0.0,5,0.6323097272087919,6.323097272087919,6.323097272087919,False
erdos_renyi,10,0.0,6,0.6316574298886283,6.316574298886283,6.316574298886283,False
erdos_renyi,10,0.0,7,0.6328942082866453,6.328942082866453,6.328942082866453,False
erdos_renyi,10,0.0,8,0.631685257504044,6.31685257504044,6.31685257504044,False
erdos_renyi,10,0.0,9,0.6316475976766203,6.316475976766203,6.316475976766203,False
erdos_renyi,10,0.0,10,0.6323947476437443,6.323947476437443,6.323947476437443,False
erdos_renyi,10,0.0,11,0.6300850991032036,6.3008509910320365,6.3008509910320365,False
erdos_renyi,10,0.0,12,0.6327013207435196,6.327013207435196,6.327013207435196,False
erdos_renyi,10,0.0,13,0.6316036761518841,6.31603676151884,6.31603676151884,False
erdos_renyi,10,0.0,14,0.6320047161399445,6.320047161399445,6.320047161399445,False
erdos_renyi,10,0.0,15,0.6328406764926222,6.328406764926222,6.328406764926222,False
erdos_renyi,10,0.0,16,0.6327005124785026,6.327005124785026,6.327005124785026,False
erdos_renyi,10,0.0,17,0.6316002597395969,6.316002597395968,6.316002597395968,False
erdos_renyi,10,0.0,18,0.6330107738142796,6.330107738142797,6.330107738142797,False
erdos_renyi,10,0.0,19,0.6322798720695959,6.322798720695959,6.322798720695959,False
erdos_renyi,10,0.0,20,0.6311166422428613,6.311166422428613,6.311166422428613,False
erdos_renyi,10,0.0,21,0.6315618348476746,6.315618348476746,6.315618348476746,False
erdos_renyi,10,0.0,22,0.6326153766348444,6.326153766348444,6.326153766348444,False
erdos_renyi,10,0.0,23,0.632450437516199,6.32450437516199,6.32450437516199,False
erdos_renyi,10,0.0,24,0.6330645700359565,6.330645700359565,6.330645700359565,False
erdos_renyi,10,0.0,25,0.632538601625821,6.32538601625821,6.32538601625821,False
erdos_renyi,10,0.0,26,0.6320995751984146,6.320995751984146,6.320995751984146,False
erdos_renyi,10,0.0,27,0.632371517978805,6.323715179788049,6.323715179788049,False
erdos_renyi,10,0.0,28,0.6320610548939182,6.3206105489391815,6.3206105489391815,False
erdos_renyi,10,0.0,29,0.6310841229911679,6.310841229911679,6.310841229911679,False
erdos_renyi,10,0.1,0,0.6311531401378574,6.3115314013785735,6.3115314013785735,False
erdos_renyi,10,0.1,1,0.631622531624338,6.31622531624338,6.31622531624338,False
erdos_renyi,10,0.1,2,0.6313908484248126,6.313908484248127,6.313908484248127,False
erdos_renyi,10,0.1,3,0.6315871938475904,6.315871938475905,6.315871938475905,False
erdos_renyi,10,0.1,4,0.6302560949455669,6.302560949455669,6.302560949455669,False
erdos_renyi,10,0.1,5,0.6328266775269098,6.328266775269098,6.328266775269098,False
erdos_renyi,10,0.1,6,0.6314689238203892,6.314689238203892,6.314689238203892,False
erdos_renyi,10,0.1,7,0.6332073077770879,6.332073077770879,6.332073077770879,False
erdos_renyi,10,0.1,8,0.6329294431535128,6.3292944315351285,6.3292944315351285,False
erdos_renyi,10,0.1,9,0.6315941559331989,6.315941559331989,6.315941559331989,False
erdos_renyi,10,0.1,10,0.6309335508091792,6.3093355080917926,6.3093355080917926,False
erdos_renyi,10,0.1,11,0.6316115321732525,6.316115321732525,6.316115321732525,False
erdos_renyi,10,0.1,12,0.6307258372599263,6.307258372599263,6.307258372599263,False
erdos_renyi,10,0.1,13,0.6324737570907388,6.324737570907388,6.324737570907388,False
erdos_renyi,10,0.1,14,0.632410461277319,6.324104612773191,6.324104612773191,False
erdos_renyi,10,0.1,15,0.6305262466200792,6.305262466200792,6.305262466200792,False
erdos_renyi,10,0.1,16,0.6289921560184605,6.289921560184605,6.289921560184605,False
erdos_renyi,10,0.1,17,0.6328426154249616,6.328426154249616,6.328426154249616,False
erdos_renyi,10,0.1,18,0.6312031575980983,6.312031575980983,6.312031575980983,False
erdos_renyi,10,0.1,19,0.6324277392451455,6.324277392451455,6.324277392451455,False
erdos_renyi,10,0.1,20,0.6311192033576241,6.311192033576241,6.311192033576241,False
erdos_renyi,10,0.1,21,0.6316384870962392,6.316384870962391,6.316384870962391,False
erdos_renyi,10,0.1,22,0.630579282858738,6.30579282858738,6.30579282858738,False
erdos_renyi,10,0.1,23,0.6321825131345482,6.3218251313454825,6.3218251313454825,False
erdos_renyi,10,0.1,24,0.6311352074357586,6.311352074357586,6.311352074357586,False
erdos_renyi,10,0.1,25,0.6333731668520908,6.333731668520908,6.333731668520908,False
erdos_renyi,10,0.1,26,0.6312679925396749,6.312679925396749,6.312679925396749,False
erdos_renyi,10,0.1,27,0.6321263800509658,6.321263800509658,6.321263800509658,False
erdos_renyi,10,0.1,28,0.630595431178998,6.3059543117899794,6.3059543117899794,False
erdos_renyi,10,0.1,29,0.6319254900260884,6.319254900260884,6.319254900260884,False
erdos_renyi,10,0.3,0,0.545740361424917,5.45740361424917,5.45740361424917,False
erdos_renyi,10,0.3,1,0.5462738665632764,5.462738665632764,5.462738665632764,False
erdos_renyi,10,0.3,2,0.5455551292575835,5.455551292575835,5.455551292575835,False
erdos_renyi,10,0.3,3,0.5468976896865467,5.468976896865467,5.468976896865467,False
erdos_renyi,10,0.3,4,0.5460598936038696,5.460598936038696,5.460598936038696,False
erdos_renyi,10,0.3,5,0.5460641203586545,5.460641203586545,5.460641203586545,False
erdos_renyi,10,0.3,6,0.5454708712249627,5.454708712249627,5.454708712249627,False
erdos_renyi,10,0.3,7,0.5455415893987572,5.455415893987572,5.455415893987572,False
erdos_renyi,10,0.3,8,0.5454424925845476,5.454424925845476,5.454424925845476,False
erdos_renyi,10,0.3,9,0.5454245749278683,5.454245749278684,5.454245749278684,False
erdos_renyi,10,0.3,10,0.5450697719475173,5.450697719475173,5.450697719475173,False
erdos_renyi,10,0.3,11,0.5422234829130255,5.422234829130255,5.422234829130255,False
erdos_renyi,10,0.3,12,0.5457101236792399,5.457101236792399,5.457101236792399,False
erdos_renyi,10,0.3,13,0.5447941188446357,5.447941188446357,5.447941188446357,False
erdos_renyi,10,0.3,14,0.5458119315332499,5.4581193153325,5.4581193153325,False
erdos_renyi,10,0.3,15,0.5454557675880438,5.454557675880438,5.454557675880438,False
erdos_renyi,10,0.3,16,0.5444909869580088,5.444909869580088,5.444909869580088,False
erdos_renyi,10,0.3,17,0.5459896458985551,5.459896458985551,5.459896458985551,False
erdos_renyi,10,0.3,18,0.5456396266613222,5.456396266613222,5.456396266613222,False
erdos_renyi,10,0.3,19,0.5455914210856267,5.4559142108562675,5.4559142108562675,False
erdos_renyi,10,0.3,20,0.5443947529955961,5.443947529955961,5.443947529955961,False
erdos_renyi,10,0.3,21,0.5452649215279066,5.452649215279067,5.452649215279067,False
erdos_renyi,10,0.3,22,0.545133666795711,5.45133666795711,5.45133666795711,False
erdos_renyi,10,0.3,23,0.5464148997711396,5.464148997711396,5.464148997711396,False
erdos_renyi,10,0.3,24,0.546399323324912,5.46399323324912,5.46399323324912,False
erdos_renyi,10,0.3,25,0.5444906470444228,5.444906470444229,5.444906470444229,False
erdos_renyi,10,0.3,26,0.5453163289787162,5.453163289787161,5.453163289787161,False
erdos_renyi,10,0.3,27,0.545985405382302,5.45985405382302,5.45985405382302,False
erdos_renyi,10,0.3,28,0.5458188971916569,5.458188971916568,5.458188971916568,False
erdos_renyi,10,0.3,29,0.5459659935074167,5.459659935074167,5.459659935074167,False
erdos_renyi,10,0.5,0,0.4382242838904167,4.382242838904167,4.382242838904167,False
erdos_renyi,10,0.5,1,0.4383746207324476,4.383746207324476,4.383746207324476,False
erdos_renyi,10,0.5,2,0.43844908109859126,4.384490810985913,4.384490810985913,False
erdos_renyi,10,0.5,3,0.43841033468777213,4.384103346877721,4.384103346877721,False
erdos_renyi,10,0.5,4,0.4381387917916093,4.3813879179160935,4.3813879179160935,False
erdos_renyi,10,0.5,5,0.4379349609920399,4.379349609920399,4.379349609920399,False
erdos_renyi,10,0.5,6,0.4381913533759938,4.381913533759938,4.381913533759938,False
erdos_renyi,10,0.5,7,0.4381496160503663,4.381496160503663,4.381496160503663,False
erdos_renyi,10,0.5,8,0.4379872268406523,4.3798722684065226,4.3798722684065226,False
erdos_renyi,10,0.5,9,0.4382375467877674,4.382375467877674,4.382375467877674,False
erdos_renyi,10,0.5,10,0.4381049247183805,4.381049247183805,4.381049247183805,False
erdos_renyi,10,0.5,11,0.43812420380871275,4.3812420380871275,4.3812420380871275,False
erdos_renyi,10,0.5,12,0.4381541310981335,4.381541310981335,4.381541310981335,False
erdos_renyi,10,0.5,13,0.43815082910512326,4.381508291051233,4.381508291051233,False
erdos_renyi,10,0.5,14,0.43669936400519427,4.366993640051943,4.366993640051943,False
erdos_renyi,10,0.5,15,0.43812906222457104,4.381290622245711,4.381290622245711,False
erdos_renyi,10,0.5,16,0.438096105997142,4.38096105997142,4.38096105997142,False
erdos_renyi,10,0.5,17,0.4381698560297054,4.381698560297053,4.381698560297053,False
erdos_renyi,10,0.5,18,0.4382325158748178,4.382325158748178,4.382325158748178,False
erdos_renyi,10,0.5,19,0.4383480233560103,4.383480233560103,4.383480233560103,False
erdos_renyi,10,0.5,20,0.43829928030540355,4.3829928030540355,4.3829928030540355,False
erdos_renyi,10,0.5,21,0.43828266418984196,4.382826641898419,4.382826641898419,False
erdos_renyi,10,0.5,22,0.43815123958201696,4.381512395820169,4.381512395820169,False
erdos_renyi,10,0.5,23,0.43813497497459986,4.381349749745999,4.381349749745999,False
erdos_renyi,10,0.5,24,0.4365848484809659,4.365848484809659,4.365848484809659,False
erdos_renyi,10,0.5,25,0.43794121453033863,4.3794121453033865,4.3794121453033865,False
erdos_renyi,10,0.5,26,0.43818995180790576,4.381899518079058,4.381899518079058,False
erdos_renyi,10,0.5,27,0.4382911001530362,4.382911001530362,4.382911001530362,False
erdos_renyi,10,0.5,28,0.43845524238873834,4.384552423887383,4.384552423887383,False
erdos_renyi,10,0.5,29,0.438376226062446,4.38376226062446,4.38376226062446,False
erdos_renyi,10,0.7,0,0.3002404384377212,3.002404384377212,3.002404384377212,False
erdos_renyi,10,0.7,1,0.30019918303938753,3.0019918303938753,3.0019918303938753,False
erdos_renyi,10,0.7,2,0.3003018829893862,3.003018829893862,3.003018829893862,False
erdos_renyi,10,0.7,3,0.30052625428850777,3.0052625428850774,3.0052625428850774,False
erdos_renyi,10,0.7,4,0.30032352795091843,3.0032352795091843,3.0032352795091843,False
erdos_renyi,10,0.7,5,0.3001524611837685,3.001524611837685,3.001524611837685,False
erdos_renyi,10,0.7,6,0.3003527281679774,3.0035272816797742,3.0035272816797742,False
erdos_renyi,10,0.7,7,0.3002600618129899,3.0026006181298994,3.0026006181298994,False
erdos_renyi,10,0.7,8,0.30018978777984195,3.0018978777984193,3.0018978777984193,False
erdos_renyi,10,0.7,9,0.300201537350393,3.00201537350393,3.00201537350393,False
erdos_renyi,10,0.7,10,0.300265926085017,3.0026592608501703,3.0026592608501703,False
erdos_renyi,10,0.7,11,0.30015325567071227,3.0015325567071227,3.0015325567071227,False
erdos_renyi,10,0.7,12,0.30017076874821336,3.0017076874821336,3.0017076874821336,False
erdos_renyi,10,0.7,13,0.3001775467856991,3.001775467856991,3.001775467856991,False
erdos_renyi,10,0.7,14,0.2984843383686403,2.9848433836864032,2.9848433836864032,False
erdos_renyi,10,0.7,15,0.3002220512418373,3.002220512418373,3.002220512418373,False
erdos_renyi,10,0.7,16,0.3002157339727547,3.002157339727547,3.002157339727547,False
erdos_renyi,10,0.7,17,0.30032356866483034,3.0032356866483036,3.0032356866483036,False
erdos_renyi,10,0.7,18,0.3002587385558728,3.002587385558728,3.002587385558728,False
erdos_renyi,10,0.7,19,0.30025739776098304,3.0025739776098304,3.0025739776098304,False
erdos_renyi,10,0.7,20,0.30032683591135423,3.0032683591135423,3.0032683591135423,False
erdos_renyi,10,0.7,21,0.30012214340305843,3.001221434030584,3.001221434030584,False
erdos_renyi,10,0.7,22,0.3001870119475909,3.001870119475909,3.001870119475909,False
erdos_renyi,10,0.7,23,0.3003028732552374,3.003028732552374,3.003028732552374,False
erdos_renyi,10,0.7,24,0.3002135515625578,3.002135515625578,3.002135515625578,False
erdos_renyi,10,0.7,25,0.30013800019596437,3.0013800019596437,3.0013800019596437,False
erdos_renyi,10,0.7,26,0.30046567703794325,3.0046567703794325,3.0046567703794325,False
erdos_renyi,10,0.7,27,0.3002037602857749,3.002037602857749,3.002037602857749,False
erdos_renyi,10,0.7,28,0.3002261123100678,3.002261123100678,3.002261123100678,False
erdos_renyi,10,0.7,29,0.30029633528414523,3.0029633528414523,3.0029633528414523,False
erdos_renyi,10,0.9,0,0.1166991504167263,1.166991504167263,1.166991504167263,False
erdos_renyi,10,0.9,1,0.11671624487796717,1.1671624487796717,1.1671624487796717,False
erdos_renyi,10,0.9,2,0.11671252353332051,1.1671252353332051,1.1671252353332051,False
erdos_renyi,10,0.9,3,0.11669148327663958,1.1669148327663958,1.1669148327663958,False
erdos_renyi,10,0.9,4,0.11669993089934694,1.1669993089934694,1.1669993089934694,False
erdos_renyi,10,0.9,5,0.11669629021865613,1.1669629021865613,1.1669629021865613,False
erdos_renyi,10,0.9,6,0.11669125992503682,1.1669125992503682,1.1669125992503682,False
erdos_renyi,10,0.9,7,0.11410685000386789,1.1410685000386789,1.1410685000386789,False
erdos_renyi,10,0.9,8,0.11670129312845035,1.1670129312845035,1.1670129312845035,False
erdos_renyi,10,0.9,9,0.11670768050349567,1.1670768050349567,1.1670768050349567,False
erdos_renyi,10,0.9,10,0.11668231907166449,1.1668231907166449,1.1668231907166449,False
erdos_renyi,10,0.9,11,0.11671960085539057,1.1671960085539057,1.1671960085539057,False
erdos_renyi,10,0.9,12,0.11670312928051696,1.1670312928051696,1.1670312928051696,False
erdos_renyi,10,0.9,13,0.11668476424677754,1.1668476424677754,1.1668476424677754,False
erdos_renyi,10,0.9,14,0.11669952803586225,1.1669952803586225,1.1669952803586225,False
erdos_renyi,10,0.9,15,0.11669851915819984,1.1669851915819984,1.1669851915819984,False
erdos_renyi,10,0.9,16,0.11669013000918349,1.166901300091835,1.166901300091835,False
erdos_renyi,10,0.9,17,0.11668671362086958,1.1668671362086958,1.1668671362086958,False
erdos_renyi,10,0.9,18,0.11670264717509804,1.1670264717509804,1.1670264717509804,False
erdos_renyi,10,0.9,19,0.11668752090523982,1.1668752090523982,1.1668752090523982,False
erdos_renyi,10,0.9,20,0.11668407725530316,1.1668407725530316,1.1668407725530316,False
erdos_renyi,10,0.9,21,0.11669414956990742,1.1669414956990742,1.1669414956990742,False
erdos_renyi,10,0.9,22,0.1167133822911347,1.167133822911347,1.167133822911347,False
erdos_renyi,10,0.9,23,0.11668970921503385,1.1668970921503385,1.1668970921503385,False
erdos_renyi,10,0.9,24,0.1166827203398032,1.166827203398032,1.166827203398032,False
erdos_renyi,10,0.9,25,0.116699917626373,1.16699917626373,1.16699917626373,False
erdos_renyi,10,0.9,26,0.11670453907020684,1.1670453907020684,1.1670453907020684,False
erdos_renyi,10,0.9,27,0.11669392027118941,1.166939202711894,1.166939202711894,False
erdos_renyi,10,0.9,28,0.11669142061896898,1.1669142061896898,1.1669142061896898,False
erdos_renyi,10,0.9,29,0.11667920256582798,1.1667920256582798,1.1667920256582798,False
erdos_renyi,10,1.0,0,0.0,0.0,0.0,False
erdos_renyi,10,1.0,1,0.0,0.0,0.0,False
erdos_renyi,10,1.0,2,0.0,0.0,0.0,False
erdos_renyi,10,1.0,3,0.0,0.0,0.0,False
erdos_renyi,10,1.0,4,0.0,0.0,0.0,False
erdos_renyi,10,1.0,5,0.0,0.0,0.0,False
erdos_renyi,10,1.0,6,0.0,0.0,0.0,False
erdos_renyi,10,1.0,7,0.0,0.0,0.0,False
erdos_renyi,10,1.0,8,0.0,0.0,0.0,False
erdos_renyi,10,1.0,9,0.0,0.0,0.0,False
erdos_renyi,10,1.0,10,0.0,0.0,0.0,False
erdos_renyi,10,1.0,11,0.0,0.0,0.0,False
erdos_renyi,10,1.0,12,0.0,0.0,0.0,False
erdos_renyi,10,1.0,13,0.0,0.0,0.0,False
erdos_renyi,10,1.0,14,0.0,0.0,0.0,False
erdos_renyi,10,1.0,15,0.0,0.0,0.0,False
erdos_renyi,10,1.0,16,0.0,0.0,0.0,False
erdos_renyi,10,1.0,17,0.0,0.0,0.0,False
erdos_renyi,10,1.0,18,0.0,0.0,0.0,False
erdos_renyi,10,1.0,19,0.0,0.0,0.0,False
erdos_renyi,10,1.0,20,0.0,0.0,0.0,False
erdos_renyi,10,1.0,21,0.0,0.0,0.0,False
erdos_renyi,10,1.0,22,0.0,0.0,0.0,False
erdos_renyi,10,1.0,23,0.0,0.0,0.0,False
erdos_renyi,10,1.0,24,0.0,0.0,0.0,False
erdos_renyi,10,1.0,25,0.0,0.0,0.0,False
erdos_renyi,10,1.0,26,0.0,0.0,0.0,False
erdos_renyi,10,1.0,27,0.0,0.0,0.0,False
erdos_renyi,10,1.0,28,0.0,0.0,0.0,False
erdos_renyi,10,1.0,29,0.0,0.0,0.0,False
erdos_renyi,30,0.0,0,0.6315874887747246,18.947624663241736,18.947624663241736,False
erdos_renyi,30,0.0,1,0.6325653654760331,18.976960964280995,18.976960964280995,False
erdos_renyi,30,0.0,2,0.6327759193224844,18.983277579674535,18.983277579674535,False
erdos_renyi,30,0.0,3,0.6317740350873948,18.953221052621846,18.953221052621846,False
erdos_renyi,30,0.0,4,0.6316923709342174,18.95077112802652,18.95077112802652,False
erdos_renyi,30,0.0,5,0.6320504437580301,18.9615133127409,18.9615133127409,False
erdos_renyi,30,0.0,6,0.6316917177874337,18.950751533623013,18.950751533623013,False
erdos_renyi,30,0.0,7,0.6321107875065954,18.963323625197862,18.963323625197862,False
erdos_renyi,30,0.0,8,0.6319697543045661,18.959092629136983,18.959092629136983,False
erdos_renyi,30,0.0,9,0.6321854489324781,18.96556346797434,18.96556346797434,False
erdos_renyi,30,0.0,10,0.6325808653814626,18.977425961443878,18.977425961443878,False
erdos_renyi,30,0.0,11,0.631200622561906,18.93601867685718,18.93601867685718,False
erdos_renyi,30,0.0,12,0.6315197489620733,18.9455924688622,18.9455924688622,False
erdos_renyi,30,0.0,13,0.6312990468144397,18.93897140443319,18.93897140443319,False
erdos_renyi,30,0.0,14,0.6323417354320359,18.970252062961077,18.970252062961077,False
erdos_renyi,30,0.0,15,0.6320362056220554,18.961086168661662,18.961086168661662,False
erdos_renyi,30,0.0,16,0.6317355222063554,18.952065666190663,18.952065666190663,False
erdos_renyi,30,0.0,17,0.6325092060576798,18.975276181730393,18.975276181730393,False
erdos_renyi,30,0.0,18,0.632708351239655,18.98125053718965,18.98125053718965,False
erdos_renyi,30,0.0,19,0.6318027935864686,18.95408380759406,18.95408380759406,False
erdos_renyi,30,0.0,20,0.6319841981021521,18.959525943064563,18.959525943064563,False
erdos_renyi,30,0.0,21,0.6318178168063853,18.954534504191557,18.954534504191557,False
erdos_renyi,30,0.0,22,0.6325253821100218,18.975761463300657,18.975761463300657,False
erdos_renyi,30,0.0,23,0.6316905328171758,18.950715984515274,18.950715984515274,False
erdos_renyi,30,0.0,24,0.6318193964187351,18.954581892562054,18.954581892562054,False
erdos_renyi,30,0.0,25,0.6319795872327514,18.959387616982543,18.959387616982543,False
erdos_renyi,30,0.0,26,0.6318356869812731,18.955070609438195,18.955070609438195,False
erdos_renyi,30,0.0,27,0.6316955790053753,18.95086737016126,18.95086737016126,False
erdos_renyi,30,0.0,28,0.6329910429626524,18.98973128887957,18.98973128887957,False
erdos_renyi,30,0.0,29,0.6316436103503782,18.949308310511345,18.949308310511345,False
erdos_renyi,30,0.1,0,0.6317604443102288,18.952813329306863,18.952813329306863,False
erdos_renyi,30,0.1,1,0.6314095480400315,18.942286441200945,18.942286441200945,False
erdos_renyi,30,0.1,2,0.6317440670843792,18.952322012531376,18.952322012531376,False
erdos_renyi,30,0.1,3,0.6322020049916302,18.966060149748905,18.966060149748905,False
erdos_renyi,30,0.1,4,0.6312167193431837,18.93650158029551,18.93650158029551,False
erdos_renyi,30,0.1,5,0.6321524597371746,18.96457379211524,18.96457379211524,False
erdos_renyi,30,0.1,6,0.6313589170411866,18.9407675112356,18.9407675112356,False
erdos_renyi,30,0.1,7,0.6310832841093308,18.932498523279925,18.932498523279925,False
erdos_renyi,30,0.1,8,0.6316646426668315,18.949939280004948,18.949939280004948,False
erdos_renyi,30,0.1,9,0.631498258305556,18.94494774916668,18.94494774916668,False
erdos_renyi,30,0.1,10,0.6319920649561812,18.959761948685436,18.959761948685436,False
erdos_renyi,30,0.1,11,0.6315438180420536,18.946314541261607,18.946314541261607,False
