endorser_size,sampling,time_ms_mean,time_ms_std,time_ms_median,time_ms_p95
5,False,0.0697022071108222,0.003406016497819598,0.06983902130741626,0.07476850441889837
10,False,0.14594419626519084,0.00841522756911304,0.14330347767099738,0.15894400130491704
20,False,0.43562629725784063,0.05115432079548341,0.42539498826954514,0.5185813963180407
50,False,2.1289609954692423,0.08681412321363069,2.11826351005584,2.2731904580723494
100,False,7.952949305763468,0.15002570298148726,7.984912997926585,8.123982403776608
100,True,2.1849680022569373,0.0481548415952207,2.2010719985701144,2.2469475079560652
200,False,32.49304640630726,0.7162995886608237,32.39927100366913,33.608906051085796
200,True,2.339256997220218,0.3163846582703227,2.249115990707651,2.8589874535100526
500,False,201.97250000201166,4.527507318815466,199.7285145043861,210.1618783955928
500,True,2.202057800604962,0.03807189422744609,2.1948219946352765,2.259628007595893
1000,False,790.379882894922,9.648368535269336,790.8331679936964,803.950597551011
1000,True,2.217803700477816,0.1103725701335151,2.2247070155572146,2.3656729521462694
