endorser_size,sampling,time_ms_mean,time_ms_std,time_ms_median,time_ms_p95
5,False,0.04725129983853549,0.0028434955295160223,0.04689949855674058,0.05061599367763847
10,False,0.11248319642618299,0.004065307306993344,0.11067299055866897,0.11838749633170664
20,False,0.3512639057589695,0.016925620831662224,0.34576999314595014,0.37450995441759005
50,False,2.0439438085304573,0.07108643744870852,2.0354620210127905,2.1505224576685578
100,False,7.88456809532363,0.1433260953589218,7.8658959828317165,8.112692939175759
100,True,2.0569406013237312,0.05234754391553504,2.0522970153251663,2.1445870588649996
200,False,31.15819150407333,0.3569500095768651,31.14052550517954,31.734625197714195
200,True,2.056607700069435,0.02178002188225148,2.0621564908651635,2.0828810607781634
500,False,195.30752529972233,2.3747152098321838,194.9022270127898,198.97795589495217
500,True,2.1202787989750504,0.06589563739448961,2.1396800002548844,2.1973049006192014
1000,False,789.3028856022283,9.083144181150196,788.9599070040276,801.5836715116166
1000,True,2.112602995475754,0.043364154115040104,2.1104114857735112,2.175842503493186
